施設名,部屋名,都道府県,市区町村,番地以下,URL,分類,最寄駅,最寄駅徒歩[分],舞台奥行[m],舞台幅[m],客席数[人],利用料(目安),駐車場,ピアノ有無,譜面台貸出,親子室,予約期間（いつから）,予約期間（いつまで）,経度,緯度,備考
DMG MORI やまと郡山城ホール,,奈良県,大和郡山市,,,コンサートホール,,,,,,,,〇,〇,,,,135.7820747,34.6518189,
LICはびきの,,大阪府,羽曳野市,,,コンサートホール,,,,,,,,,,,,,135.5977378,34.5537684,
アスピアやましろ,,京都府,木津川市,山城町平尾前田24,,コンサートホール,,,,,,,,,,,,,135.812186,34.77586,
あましんアルカイックホール,,兵庫県,尼崎市,昭和通２丁目７−１６,,コンサートホール,,,,,,,,〇,〇,,,,135.420402,34.721113,
アラベスクホール,,兵庫県,,,,コンサートホール,,,,,,,,,,,,,134.8385414,34.7967574,
いずみホール,,大阪府,大阪市中央区,城見１丁目４−７０,,コンサートホール,,,,,,,,〇,〇,,,,135.534243,34.690877,
キセラホール,,兵庫県,川西市,火打１丁目１２−１６,,コンサートホール,,,,,,,,,,,,,135.4200507,34.8361364,
コスモホール,,兵庫県,,,,コンサートホール,,,,,,,,,,,,,134.9195852,34.7491812,
ザ・シンフォニーホール,,大阪府,大阪市北区,大淀南２丁目３−３,,コンサートホール,,,,,,,,〇,〇,,,,135.486011,34.701486,
しづかホール,,兵庫県,淡路市,,,コンサートホール,,,,,,,,,,,,,134.9040951,34.4281463,
すばるホール,,大阪府,富田林市,,,コンサートホール,,,,,,,,,,,,,135.586101,34.495225,
なら100年会館,,奈良県,奈良市,,,コンサートホール,,,,,,,,,,,,,135.8164798,34.6802938,
なるお文化ホール,,兵庫県,,,,コンサートホール,,,,,,,,,,,,,135.3665481,34.7148217,
ひこね市文化プラザ,,滋賀県,彦根市,,,コンサートホール,,,,,,,,,,,,,136.233095,35.255967,
フェニーチェ堺,,大阪府,堺市堺区,翁橋町２丁１−１,,コンサートホール,,,,,,,,,,,,,135.4796645,34.5723148,
ベガホール,,兵庫県,宝塚市,,,コンサートホール,,,,,,,,,,,,,135.3522512,34.8110059,
ポートピアホール,,兵庫県,神戸市中央区,,,コンサートホール,,,,,,,,,,,,,135.2142847,34.6642656,
やまなみホール,,京都府,南山城村,大字北大河原小字久保8,,コンサートホール,,,,,,,,,,,,,135.992323,34.772378,
ラブリーホール（河内長野市立文化会館）,,大阪府,河内長野市,,,コンサートホール,,,,,,,,,,,,,135.566473,34.452977,
芦屋市立 ルナホール,,兵庫県,芦屋市,,,コンサートホール,,,,,,,,〇,〇,,,,135.3026709,34.7326605,
伊吹薬草の里文化センター,,滋賀県,米原市,,,コンサートホール,,,,,,,,,,,,,136.38317,35.382004,
伊丹アイフォニックホール,,兵庫県,伊丹市,,,コンサートホール,,,,,,,,〇,〇,,,,135.4157502,34.7825023,
宇治市文化センター,,京都府,宇治市,,,コンサートホール,,,,,,,,,,,,,135.8048334,34.8795895,
橿原市立かしはら万葉ホール,,奈良県,橿原市,,,コンサートホール,,,,,,,,,,,,,135.7961237,34.5001068,
岸和田市立浪切ホール,,大阪府,岸和田市,,,コンサートホール,,,,,,,,〇,〇,,,,135.3692892,34.4660539,
京都コンサートホール,,京都府,京都市左京区,下鴨半木町1−２６,,コンサートホール,,,,,,,,〇,〇,,,,135.7665733,35.0499603,
京都府長岡京記念文化会館,,京都府,長岡京市,,,コンサートホール,,,,,,,,〇,〇,,,,135.688303,34.927076,
香芝市ふたかみ文化センター,,奈良県,香芝市,,,コンサートホール,,,,,,,,,,,,,135.699345,34.542623,
高槻現代劇場,,大阪府,高槻市,,,コンサートホール,,,,,,,,〇,〇,,,,135.6206528,34.8455442,
阪南市立文化センター,,大阪府,阪南市,,,コンサートホール,,,,,,,,,,,,,135.2406072,34.3597113,
三郷町文化センター,,奈良県,三郷町,,,コンサートホール,,,,,,,,,,,,,135.6964647,34.6012705,
三田市総合文化センター 郷の音ホール,,兵庫県,三田市,,,コンサートホール,,,,,,,,,,,,,135.221431,34.890982,
滋賀県立芸術劇場 びわ湖ホール,,滋賀県,大津市,,,コンサートホール,,,,,,,,〇,〇,,,,135.8770895,35.0070819,
守山市民ホール,,滋賀県,守山市,,,コンサートホール,,,,,,,,,,,,,135.9788202,35.0634612,
神戸芸術センター,,兵庫県,神戸市中央区,,,コンサートホール,,,,,,,,〇,〇,,,,135.1982515,34.7044125,
神戸国際会館こくさいホール,,兵庫県,神戸市中央区,,,コンサートホール,,,,,,,,〇,,,,,135.1958143,34.6921373,
神戸市立東灘区民センター,,兵庫県,神戸市東灘区,,,コンサートホール,,,,,,,,〇,,,,,135.2631618,34.7191884,
神戸市立北区民センター すずらんホール,,兵庫県,神戸市北区,,,コンサートホール,,,,,,,,〇,,,,,135.145034,34.726578,
神戸新聞 松方ホール,,兵庫県,神戸市,,,コンサートホール,,,,,,,,,,,,,135.1819286,34.6784883,
神戸文化ホール,,兵庫県,神戸市,,,コンサートホール,,,,,,,,,,,,,135.172919,34.683856,
吹田市文化会館（メイシアター）,,大阪府,吹田市,,,コンサートホール,,,,,,,,〇,〇,,,,135.515296,34.759747,
西宮市民会館(アミティホール),,兵庫県,西宮市,,,コンサートホール,,,,,,,,〇,〇,,,,135.341625,34.737105,
川西市みつなかホール,,兵庫県,川西市,,,コンサートホール,,,,,,,,,,,,,135.4188125,34.825864,
大阪狭山市文化会館SAYAKAホール,,大阪府,大阪狭山市,,,コンサートホール,,,,,,,,〇,〇,,,,135.5559338,34.5018336,
大東市立総合文化センター サーティホール,,大阪府,大東市,,,コンサートホール,,,,,,,,,,,,,135.623798,34.703616,
